,sample_size,power,avg_eta_sqr
1872,121,0.43333333333333335,0.9713511303099887
1873,121,0.5666666666666667,1.012399161051021
1874,121,0.43333333333333335,1.0442142895644235
1875,121,0.5333333333333333,1.0817422665889032
1876,121,0.5666666666666667,1.1246076280919541
1877,121,0.5333333333333333,1.175480574427683
1878,121,0.5,1.2151397616500008
1879,121,0.5,1.2558294056630546
1880,121,0.43333333333333335,1.2993762863097538
1881,121,0.4666666666666667,1.340843454007968
1882,121,0.5333333333333333,1.3876007074062777
1883,121,0.6,1.434312992963894
1884,121,0.43333333333333335,1.4786775409702002
1885,121,0.5,1.5155414115452897
1886,121,0.5,1.5596252991369952
1887,121,0.6,1.6096730809132704
1888,121,0.3333333333333333,1.6542861491404968
1889,121,0.4,1.6923844632621026
1890,121,0.5333333333333333,1.7393214858627044
1891,121,0.4666666666666667,1.7753675321406222
1892,121,0.4,1.808240979964146
1893,121,0.4,1.8465702843335445
1894,121,0.5,1.8990899339543366
1895,121,0.4,1.9398436732952742
1896,121,0.8,2.003346713163464
1897,121,0.3333333333333333,2.0400716854720127
1898,121,0.4666666666666667,2.0759762218911915
1899,121,0.6,2.1262355952317145
1900,124,0.5,0.03620885077542508
1901,124,0.5666666666666667,0.08461048651689215
1902,124,0.7,0.13581974336031882
1903,124,0.43333333333333335,0.17302419509799088
1904,124,0.36666666666666664,0.2012836771554653
1905,124,0.6,0.2447179905915951
1906,124,0.6666666666666666,0.29329987063398044
1907,124,0.5333333333333333,0.3300045210700251
1908,124,0.36666666666666664,0.36059594768577874
1909,124,0.6,0.40971321808904365
1910,124,0.5333333333333333,0.4584897973718622
1911,124,0.3,0.4878583743326576
1912,124,0.5,0.5272361733151344
1913,124,0.43333333333333335,0.5656570250492091
1914,124,0.4,0.5970028652740624
1915,124,0.5,0.6394373310427266
1916,124,0.5666666666666667,0.6869750436601817
1917,124,0.5,0.7199721419578485
1918,124,0.5333333333333333,0.7755715965302526
1919,124,0.6,0.817667543337817
1920,124,0.43333333333333335,0.8526560056406262
1921,124,0.36666666666666664,0.8857561481928193
1922,124,0.5,0.9313346414801463
1923,124,0.4666666666666667,0.9619490478361322
1924,124,0.4666666666666667,1.0065155879636547
1925,124,0.5666666666666667,1.04575314890232
1926,124,0.5,1.0842352553853762
1927,124,0.5,1.1243069930424283
1928,124,0.43333333333333335,1.1584786501784454
1929,124,0.6333333333333333,1.2067881146860773
1930,124,0.5,1.2432335513669555
1931,124,0.26666666666666666,1.277547845923924
1932,124,0.4666666666666667,1.3228973065437428
1933,124,0.4666666666666667,1.359955016282025
1934,124,0.5666666666666667,1.4055486511646265
1935,124,0.4,1.4384333058596148
1936,124,0.6,1.4884265902872893
1937,124,0.4666666666666667,1.5268207542420333
1938,124,0.43333333333333335,1.5630388226249754
1939,124,0.7,1.6127819923625848
1940,124,0.5333333333333333,1.6593991159257142
1941,124,0.4666666666666667,1.7006305648053082
1942,124,0.5,1.7367413382413481
1943,124,0.6,1.776772705101264
1944,124,0.5333333333333333,1.810793177423714
1945,124,0.4666666666666667,1.8462675760053886
1946,124,0.4,1.8831071903720689
1947,124,0.6666666666666666,1.9293080383375996
